,CURROPER
63063,True
65138,True
61717,False
75202,True
64360,True
62234,True
75021,True
72822,True
66666,True
54324,True
75773,True
68757,True
64954,True
64255,True
73573,True
62339,True
53801,False
48852,True
49741,True
76663,True
63165,True
66599,True
51900,True
59933,True
61196,True
54773,True
63118,True
71656,True
48181,True
51119,True
62870,True
58005,True
77967,True
48062,True
76841,False
69410,True
50000,True
50789,True
48981,True
71138,True
56553,True
61928,False
62794,True
59340,True
77055,False
65448,True
70124,True
76609,True
72288,True
69762,True
59976,True
70732,True
74543,True
48278,True
55337,True
76430,True
61075,True
62697,True
78256,True
56478,True
58752,True
67433,True
66086,True
74932,True
71017,True
60825,True
62947,False
69453,True
54297,False
66950,True
69675,False
73026,True
51007,True
57173,True
58316,True
63629,False
65202,True
59087,True
48835,True
58789,True
61328,True
72360,True
56815,True
55012,True
57109,True
66524,True
60097,False
51614,True
49916,True
50270,True
69617,True
64899,True
68547,False
67428,True
72082,True
55141,True
51301,True
55388,True
71176,True
63940,True
54947,False
53204,True
78141,True
64656,True
49621,True
68041,False
58959,True
71089,True
76079,True
66741,True
62134,True
64651,True
74511,True
70603,True
63814,True
69206,True
53341,True
52835,True
57527,True
68296,True
53921,True
67117,True
76343,True
64595,True
64191,True
75322,True
70806,True
50420,True
55621,True
50348,True
71833,True
62432,True
65689,True
50418,True
68236,True
48042,True
76215,True
52313,True
56779,True
54984,True
52769,False
66625,True
60159,True
56668,True
68661,True
62841,True
69460,True
64439,True
64493,True
71484,True
52481,True
59487,True
56103,True
63543,True
50183,True
75679,True
49503,True
69223,True
76447,True
59035,True
64874,True
61395,True
68254,False
77988,False
64242,True
57701,True
58408,True
69396,True
50400,True
54163,True
53697,False
76380,True
59239,True
56482,True
68525,False
49664,True
62644,True
76092,True
52535,True
74440,True
64536,True
49033,True
67920,True
65268,True
69686,True
70870,True
47931,True
66968,True
53423,True
51259,True
59869,True
52955,True
68384,True
69948,True
61021,False
72098,True
72825,True
66591,True
78260,True
49107,True
67529,True
68944,True
75576,True
68708,False
54647,True
51444,True
62208,True
71363,True
60854,True
58192,True
55094,True
74249,True
53430,True
54896,True
67263,True
58155,True
61893,False
52988,True
48709,True
54039,True
56242,True
49158,True
53128,True
53596,True
49939,True
71145,True
69481,True
64034,True
68011,True
78085,True
66729,True
55814,True
55617,True
54421,True
55879,True
75870,True
69885,True
62030,True
54585,True
63925,False
66141,True
55107,False
72092,True
56190,True
72135,True
69894,True
52821,True
59571,True
51080,True
68649,True
58742,True
53453,True
60315,True
58105,True
73136,True
64638,True
60100,True
57016,True
77201,True
77577,True
74738,True
72093,True
56782,True
58094,True
74186,False
52641,False
75511,True
76773,True
51386,True
70564,True
63723,True
57717,True
56419,True
51998,True
55373,True
55115,True
69915,True
76757,True
59365,True
70745,True
76410,True
48343,False
58474,True
61069,True
61599,True
56641,True
63667,True
60635,True
58517,True
75603,True
70194,True
65097,True
77515,True
77540,True
57459,True
63893,True
71602,True
62777,True
66344,True
50621,True
48830,True
50706,True
64987,True
51554,True
65199,True
62670,True
53709,False
54782,False
72156,True
57735,True
68585,True
77774,True
70643,True
77815,True
74994,True
76114,True
60919,True
62494,True
63800,False
74155,True
64030,True
52702,True
60699,True
57282,True
60212,False
72216,True
47969,True
72770,True
78323,True
68972,True
75271,True
52526,True
51923,True
53244,True
49061,True
68068,True
56582,True
71170,False
78564,True
62073,False
73769,True
70460,True
77819,True
72210,True
68397,True
48240,True
56488,True
62233,True
54470,False
68676,True
72500,True
74243,True
50933,True
54598,False
77489,True
67650,False
78056,True
67187,True
54276,True
76666,True
73672,True
60061,False
53441,True
57083,True
70146,True
57466,True
66969,True
75035,True
56589,True
52100,True
53892,True
76346,True
54697,True
63084,True
53074,False
65371,True
52353,True
52395,True
77204,True
76406,True
58121,True
63552,True
77131,True
71789,True
57547,True
69727,True
50428,True
65681,True
49256,True
61594,True
73269,True
53367,True
69572,True
73441,True
53485,True
73319,True
51915,True
65825,False
55935,True
57984,True
65984,True
63693,True
73597,True
64414,True
56662,True
71069,True
75610,True
54762,True
63159,True
55371,True
59149,True
48790,True
63722,True
48936,True
60122,True
58931,True
60880,True
65847,True
63470,True
76161,True
51177,True
56032,True
59034,True
76237,True
77391,True
61280,False
52703,False
77086,False
71574,True
58503,True
76400,True
66711,True
70181,True
62905,True
52772,True
74668,True
52937,True
51268,True
66051,True
69128,True
52478,True
68843,True
54100,True
63835,True
61359,True
78374,True
58129,True
65597,True
